,City,Date,PM2.5,PM10,NO2,CO,SO2,O3
0,Ahmedabad,1/1/2015,67.4506,118.127,18.22,0.92,27.64,133.36
1,Ahmedabad,1/2/2015,67.4506,118.127,15.69,0.97,24.55,34.06
2,Ahmedabad,1/3/2015,67.4506,118.127,19.3,17.4,29.07,30.7
3,Ahmedabad,1/4/2015,67.4506,118.127,18.48,1.7,18.59,36.08
4,Ahmedabad,1/5/2015,67.4506,118.127,21.42,22.1,39.33,39.31
5,Ahmedabad,1/6/2015,67.4506,118.127,38.48,45.41,45.76,46.51
6,Ahmedabad,1/7/2015,67.4506,118.127,40.62,112.16,32.28,33.47
7,Ahmedabad,1/8/2015,67.4506,118.127,36.74,80.87,38.54,31.89
8,Ahmedabad,1/9/2015,67.4506,118.127,31.0,29.16,58.68,25.75
9,Ahmedabad,1/10/2015,67.4506,118.127,7.04,2.2486,8.29,4.55
10,Ahmedabad,1/11/2015,67.4506,118.127,55.8,132.07,25.03,6.79
11,Ahmedabad,1/12/2015,67.4506,118.127,40.67,52.04,51.84,45.89
12,Ahmedabad,1/13/2015,67.4506,118.127,44.2,48.82,68.21,35.16
13,Ahmedabad,1/14/2015,67.4506,118.127,27.86,19.2,52.65,20.96
14,Ahmedabad,1/15/2015,67.4506,118.127,16.96,0.6,28.89,47.63
15,Ahmedabad,1/16/2015,67.4506,118.127,21.72,1.63,38.27,46.03
16,Ahmedabad,1/17/2015,67.4506,118.127,24.73,11.44,49.5,52.24
17,Ahmedabad,1/18/2015,67.4506,118.127,25.77,6.1,48.43,53.49
18,Ahmedabad,1/19/2015,67.4506,118.127,26.88,2.51,50.03,49.48
19,Ahmedabad,1/20/2015,67.4506,118.127,26.8,7.92,58.87,56.37
20,Ahmedabad,1/21/2015,67.4506,118.127,33.56,9.52,106.93,48.75
21,Ahmedabad,1/22/2015,67.4506,118.127,17.51,9.05,23.71,42.22
22,Ahmedabad,1/23/2015,67.4506,118.127,27.96,22.53,39.19,32.92
23,Ahmedabad,1/24/2015,67.4506,118.127,20.39,2.03,40.07,32.49
24,Ahmedabad,1/25/2015,67.4506,118.127,20.43,1.42,58.41,39.26
25,Ahmedabad,1/26/2015,67.4506,118.127,21.16,2.27,43.73,39.83
26,Ahmedabad,1/27/2015,67.4506,118.127,21.7,2.19,43.28,41.1
27,Ahmedabad,1/28/2015,73.24,118.127,21.11,5.72,36.52,62.42
28,Ahmedabad,1/29/2015,83.13,118.127,28.71,6.93,49.52,59.76
29,Ahmedabad,1/30/2015,79.84,118.127,28.68,13.85,48.49,97.07
30,Ahmedabad,1/31/2015,94.52,118.127,32.66,24.39,67.39,111.33
31,Ahmedabad,2/1/2015,135.99,118.127,42.08,43.48,75.23,102.7
32,Ahmedabad,2/2/2015,178.33,118.127,35.31,54.56,55.04,107.38
33,Ahmedabad,2/3/2015,139.7,118.127,28.4,30.61,33.79,73.6
34,Ahmedabad,2/4/2015,80.65,118.127,22.83,2.37,25.73,47.3
35,Ahmedabad,2/5/2015,58.36,118.127,21.39,2.6,32.66,53.54
36,Ahmedabad,2/6/2015,79.29,118.127,26.94,1.16,67.41,59.3
37,Ahmedabad,2/7/2015,88.7,118.127,31.32,7.29,80.09,44.76
38,Ahmedabad,2/8/2015,74.28,118.127,27.3,8.92,54.28,47.42
39,Ahmedabad,2/9/2015,113.93,118.127,24.27,4.32,48.73,39.94
40,Ahmedabad,2/10/2015,105.39,118.127,18.21,1.41,35.91,56.15
41,Ahmedabad,2/11/2015,66.52,118.127,23.8,6.34,66.58,53.14
42,Ahmedabad,2/12/2015,65.04,118.127,30.1,14.19,65.91,31.88
43,Ahmedabad,2/13/2015,103.36,118.127,39.56,18.18,80.43,40.11
44,Ahmedabad,2/14/2015,177.33,118.127,47.58,37.49,99.72,36.47
45,Ahmedabad,2/15/2015,113.25,118.127,30.5,15.55,69.71,33.78
46,Ahmedabad,2/16/2015,99.7,118.127,28.1,19.85,73.23,30.57
47,Ahmedabad,2/17/2015,80.61,118.127,21.04,15.96,54.7,36.2
48,Ahmedabad,2/18/2015,100.79,118.127,25.93,16.24,43.11,37.43
49,Ahmedabad,2/19/2015,107.99,118.127,30.09,11.25,84.86,31.94
50,Ahmedabad,2/20/2015,140.29,118.127,36.14,33.84,101.53,40.98
51,Ahmedabad,2/21/2015,239.96,118.127,46.25,61.95,84.87,33.55
52,Ahmedabad,2/22/2015,142.96,118.127,48.21,45.45,62.96,34.77
53,Ahmedabad,2/23/2015,238.41,118.127,55.07,77.7,89.07,37.3
54,Ahmedabad,2/24/2015,118.72,118.127,32.01,12.56,61.54,38.8
55,Ahmedabad,2/25/2015,52.99,118.127,10.45,2.23,32.76,67.25
56,Ahmedabad,2/26/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
57,Ahmedabad,2/27/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
58,Ahmedabad,2/28/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
59,Ahmedabad,3/1/2015,61.12,118.127,16.81,3.58,28.44,30.48
60,Ahmedabad,3/2/2015,60.78,118.127,18.21,9.07,29.48,34.75
61,Ahmedabad,3/3/2015,91.83,118.127,28.71,12.99,39.71,38.46
62,Ahmedabad,3/4/2015,93.88,118.127,29.38,18.21,62.75,46.79
63,Ahmedabad,3/5/2015,173.01,118.127,42.27,48.44,78.76,59.39
64,Ahmedabad,3/6/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
65,Ahmedabad,3/7/2015,105.45,118.127,16.1,2.5,29.29,69.9
66,Ahmedabad,3/8/2015,71.56,118.127,16.83,3.51,30.28,57.16
67,Ahmedabad,3/9/2015,119.8,118.127,24.07,4.13,50.35,50.49
68,Ahmedabad,3/10/2015,106.71,118.127,25.59,5.39,38.85,60.17
69,Ahmedabad,3/11/2015,118.49,118.127,28.94,4.11,54.2,53.61
70,Ahmedabad,3/12/2015,106.01,118.127,27.31,4.28,70.29,40.91
71,Ahmedabad,3/13/2015,97.34,118.127,21.58,3.67,64.39,45.69
72,Ahmedabad,3/14/2015,83.92,118.127,25.03,6.42,67.53,34.94
73,Ahmedabad,3/15/2015,49.51,118.127,14.16,3.1,48.33,37.95
74,Ahmedabad,3/16/2015,30.76,118.127,14.14,2.72,43.62,54.78
75,Ahmedabad,3/17/2015,50.29,118.127,29.84,5.34,59.23,45.44
76,Ahmedabad,3/18/2015,57.69,118.127,29.48,25.36,58.33,52.87
77,Ahmedabad,3/19/2015,105.06,118.127,37.05,46.24,53.62,45.65
78,Ahmedabad,3/20/2015,94.1,118.127,36.53,22.14,61.31,46.77
79,Ahmedabad,3/21/2015,111.89,118.127,43.29,22.25,66.44,50.57
80,Ahmedabad,3/22/2015,108.59,118.127,39.34,25.38,75.8,46.68
81,Ahmedabad,3/23/2015,130.76,118.127,41.03,45.61,65.77,41.58
82,Ahmedabad,3/24/2015,143.55,118.127,31.15,27.3,50.98,35.38
83,Ahmedabad,3/25/2015,165.07,118.127,34.48,23.83,64.32,43.79
84,Ahmedabad,3/26/2015,166.85,118.127,43.3,17.93,79.71,53.44
85,Ahmedabad,3/27/2015,147.38,118.127,35.82,6.4,46.89,17.94
86,Ahmedabad,3/28/2015,158.25,118.127,27.89,5.86,142.36,38.54
87,Ahmedabad,3/29/2015,237.76,118.127,21.8,4.99,96.28,39.77
88,Ahmedabad,3/30/2015,133.37,118.127,17.99,3.88,57.34,39.66
89,Ahmedabad,3/31/2015,133.3,118.127,20.0,6.52,51.58,59.03
90,Ahmedabad,4/1/2015,96.04,118.127,20.07,3.8,62.42,46.61
91,Ahmedabad,4/2/2015,77.69,118.127,18.87,5.24,100.48,27.14
92,Ahmedabad,4/3/2015,53.07,118.127,13.82,4.17,40.36,21.76
93,Ahmedabad,4/4/2015,63.11,118.127,15.5,5.63,38.21,4.72
94,Ahmedabad,4/5/2015,156.76,118.127,16.7,3.92,26.32,37.11
95,Ahmedabad,4/6/2015,120.96,118.127,20.86,4.23,35.54,35.66
96,Ahmedabad,4/7/2015,138.63,118.127,25.47,5.65,87.43,29.77
97,Ahmedabad,4/8/2015,144.36,118.127,30.69,15.82,66.39,27.34
98,Ahmedabad,4/9/2015,85.03,118.127,26.7,3.3,59.16,35.89
99,Ahmedabad,4/10/2015,134.6,118.127,26.27,5.9,34.53,7.0
100,Ahmedabad,4/11/2015,61.06,118.127,14.03,3.52,8.08,19.54
101,Ahmedabad,4/12/2015,39.42,118.127,19.56,5.28,17.66,31.3
102,Ahmedabad,4/13/2015,111.86,118.127,22.51,3.89,15.84,31.23
103,Ahmedabad,4/14/2015,58.37,118.127,21.71,5.74,25.9,43.92
104,Ahmedabad,4/15/2015,95.37,118.127,26.23,18.01,13.59,41.64
105,Ahmedabad,4/16/2015,141.3,118.127,36.88,30.8,41.06,37.66
106,Ahmedabad,4/17/2015,106.68,118.127,46.38,19.91,31.56,48.49
107,Ahmedabad,4/18/2015,109.48,118.127,20.27,4.3,46.6,31.34
108,Ahmedabad,4/19/2015,126.04,118.127,20.18,6.99,79.56,28.71
109,Ahmedabad,4/20/2015,71.22,118.127,21.32,16.73,50.09,28.39
110,Ahmedabad,4/21/2015,97.87,118.127,17.96,6.3,13.85,34.16
111,Ahmedabad,4/22/2015,63.38,118.127,13.28,3.44,24.79,43.62
112,Ahmedabad,4/23/2015,75.29,118.127,14.29,3.35,76.05,60.71
113,Ahmedabad,4/24/2015,80.9,118.127,18.62,5.7,65.44,22.8
114,Ahmedabad,4/25/2015,103.29,118.127,19.82,4.55,85.42,22.18
115,Ahmedabad,4/26/2015,107.5,118.127,15.56,5.29,74.37,10.12
116,Ahmedabad,4/27/2015,161.14,118.127,14.77,3.11,118.35,59.73
117,Ahmedabad,4/28/2015,102.58,118.127,12.74,3.88,41.94,26.89
118,Ahmedabad,4/29/2015,138.42,118.127,16.7,5.05,77.74,27.18
119,Ahmedabad,4/30/2015,129.04,118.127,14.86,5.69,78.27,18.67
120,Ahmedabad,5/1/2015,96.65,118.127,15.9,4.67,39.41,11.83
121,Ahmedabad,5/2/2015,126.77,118.127,23.93,15.69,93.18,36.71
122,Ahmedabad,5/3/2015,106.15,118.127,23.02,13.12,65.95,81.6
123,Ahmedabad,5/4/2015,86.31,118.127,10.5,2.69,50.13,90.54
124,Ahmedabad,5/5/2015,83.99,118.127,0.08,2.73,34.06,69.57
125,Ahmedabad,5/6/2015,65.11,118.127,4.58,3.14,22.27,32.26
126,Ahmedabad,5/7/2015,51.03,118.127,20.47,6.24,15.5,31.44
127,Ahmedabad,5/8/2015,38.73,118.127,19.28,8.0,20.13,25.7
128,Ahmedabad,5/9/2015,61.12,118.127,17.82,9.94,39.69,25.9
129,Ahmedabad,5/10/2015,58.44,118.127,17.24,10.68,54.69,18.89
130,Ahmedabad,5/11/2015,61.49,118.127,16.69,11.44,42.66,18.2
131,Ahmedabad,5/12/2015,65.39,118.127,16.08,12.3,27.96,22.35
132,Ahmedabad,5/13/2015,100.92,118.127,18.9,20.42,31.9,22.84
133,Ahmedabad,5/14/2015,97.48,118.127,30.02,5.31,36.05,16.26
134,Ahmedabad,5/15/2015,129.27,118.127,28.33,14.28,70.13,25.4
135,Ahmedabad,5/16/2015,129.58,118.127,28.79,21.23,17.66,34.42
136,Ahmedabad,5/17/2015,100.57,118.127,18.79,7.56,38.76,38.83
137,Ahmedabad,5/18/2015,130.34,118.127,17.43,7.14,52.07,29.05
138,Ahmedabad,5/19/2015,53.24,118.127,15.86,8.05,36.23,21.58
139,Ahmedabad,5/20/2015,42.0,118.127,18.16,10.44,17.0,25.5
140,Ahmedabad,5/21/2015,50.1,118.127,14.9,9.46,30.67,12.91
141,Ahmedabad,5/22/2015,83.69,118.127,17.18,10.89,41.12,35.61
142,Ahmedabad,5/23/2015,38.88,118.127,16.28,2.18,26.4,12.47
143,Ahmedabad,5/24/2015,46.89,118.127,16.17,2.96,41.96,10.74
144,Ahmedabad,5/25/2015,70.96,118.127,15.47,4.12,23.67,16.01
145,Ahmedabad,5/26/2015,53.66,118.127,14.43,4.23,14.46,45.64
146,Ahmedabad,5/27/2015,45.49,118.127,13.73,4.26,12.85,71.85
147,Ahmedabad,5/28/2015,60.86,118.127,16.61,5.27,14.91,41.19
148,Ahmedabad,5/29/2015,51.93,118.127,17.87,13.71,15.33,12.88
149,Ahmedabad,5/30/2015,77.87,118.127,17.12,6.67,46.82,16.67
150,Ahmedabad,5/31/2015,57.59,118.127,15.47,5.6,41.68,25.51
151,Ahmedabad,6/1/2015,77.22,118.127,15.47,7.02,71.97,9.56
152,Ahmedabad,6/2/2015,45.29,118.127,12.74,7.25,18.64,6.32
153,Ahmedabad,6/3/2015,103.78,118.127,13.9,6.36,7.76,15.27
154,Ahmedabad,6/4/2015,25.14,118.127,18.73,6.01,38.05,38.52
155,Ahmedabad,6/5/2015,87.03,118.127,17.88,8.05,23.84,48.22
156,Ahmedabad,6/6/2015,89.6,118.127,19.84,6.59,48.05,44.78
157,Ahmedabad,6/7/2015,80.69,118.127,16.07,6.86,39.85,32.65
158,Ahmedabad,6/8/2015,44.75,118.127,16.53,7.76,9.89,8.07
159,Ahmedabad,6/9/2015,38.11,118.127,11.62,7.41,3.13,6.69
160,Ahmedabad,6/10/2015,45.5,118.127,15.59,8.56,0.76,3.82
161,Ahmedabad,6/11/2015,36.98,118.127,11.52,8.21,0.52,5.17
162,Ahmedabad,6/12/2015,43.58,118.127,13.33,8.26,1.02,7.56
163,Ahmedabad,6/13/2015,45.49,118.127,14.91,9.63,0.81,2.94
164,Ahmedabad,6/14/2015,38.06,118.127,18.57,8.67,1.05,4.63
165,Ahmedabad,6/15/2015,45.41,118.127,20.55,9.35,0.74,4.5
166,Ahmedabad,6/16/2015,37.71,118.127,16.26,8.54,0.87,4.6
167,Ahmedabad,6/17/2015,32.37,118.127,14.36,7.53,2.17,12.17
168,Ahmedabad,6/18/2015,34.74,118.127,13.51,7.59,4.11,12.22
169,Ahmedabad,6/19/2015,32.56,118.127,13.91,7.34,4.04,11.85
170,Ahmedabad,6/20/2015,29.28,118.127,11.68,7.55,4.01,12.64
171,Ahmedabad,6/21/2015,20.46,118.127,10.61,7.15,5.62,12.7
172,Ahmedabad,6/22/2015,26.07,118.127,11.07,7.99,4.1,10.57
173,Ahmedabad,6/23/2015,21.43,118.127,11.16,7.45,4.99,7.38
174,Ahmedabad,6/24/2015,11.91,118.127,10.1,7.34,10.86,5.47
175,Ahmedabad,6/25/2015,57.75,118.127,9.68,8.68,12.28,3.06
176,Ahmedabad,6/26/2015,66.39,118.127,12.79,8.58,11.09,4.96
177,Ahmedabad,6/27/2015,62.61,118.127,9.83,9.15,12.31,6.44
178,Ahmedabad,6/28/2015,47.5,118.127,9.53,8.07,13.91,7.28
179,Ahmedabad,6/29/2015,111.8,118.127,11.51,9.23,5.27,5.99
180,Ahmedabad,6/30/2015,30.0,118.127,13.59,8.87,8.09,6.31
181,Ahmedabad,7/1/2015,4.66,118.127,10.9,9.01,7.31,6.38
182,Ahmedabad,7/2/2015,48.72,118.127,11.94,9.56,5.72,6.61
183,Ahmedabad,7/3/2015,49.7,118.127,9.81,9.43,6.78,6.42
184,Ahmedabad,7/4/2015,48.1,118.127,9.53,8.03,9.33,7.6
185,Ahmedabad,7/5/2015,47.43,118.127,9.45,8.11,7.93,7.08
186,Ahmedabad,7/6/2015,51.74,118.127,12.38,8.91,10.05,5.78
187,Ahmedabad,7/7/2015,42.68,118.127,11.08,9.74,10.87,4.44
188,Ahmedabad,7/8/2015,38.45,118.127,7.8,10.55,10.28,3.24
189,Ahmedabad,7/9/2015,46.69,118.127,0.17,11.48,10.25,5.76
190,Ahmedabad,7/10/2015,55.27,118.127,0.12,11.55,12.7,6.55
191,Ahmedabad,7/11/2015,149.03,118.127,0.16,11.49,10.07,7.27
192,Ahmedabad,7/12/2015,86.57,118.127,0.17,11.47,11.09,6.53
193,Ahmedabad,7/13/2015,111.77,118.127,0.24,11.3,7.73,4.67
194,Ahmedabad,7/14/2015,151.4,118.127,0.36,10.8,7.8,5.46
195,Ahmedabad,7/15/2015,51.35,118.127,2.69,8.0,10.0,5.76
196,Ahmedabad,7/16/2015,65.37,118.127,8.07,0.64,16.31,8.02
197,Ahmedabad,7/17/2015,56.28,118.127,8.02,0.6,18.93,6.2
198,Ahmedabad,7/18/2015,48.17,118.127,8.0,0.65,18.99,7.97
199,Ahmedabad,7/19/2015,33.56,118.127,7.89,0.72,11.28,10.18
200,Ahmedabad,7/20/2015,31.3,118.127,8.1,0.55,10.29,7.44
201,Ahmedabad,7/21/2015,48.12,118.127,7.9,0.67,1.28,6.3
202,Ahmedabad,7/22/2015,57.11,118.127,8.28,0.55,14.58,2.6
203,Ahmedabad,7/23/2015,34.72,118.127,9.73,0.1,13.62,4.87
204,Ahmedabad,7/24/2015,29.22,118.127,9.57,0.06,13.58,5.08
205,Ahmedabad,7/25/2015,29.79,118.127,8.64,0.14,15.11,5.34
206,Ahmedabad,7/26/2015,59.95,118.127,8.78,0.18,11.52,2.79
207,Ahmedabad,7/27/2015,19.2,118.127,9.45,1.52,11.23,4.61
208,Ahmedabad,7/28/2015,19.52,118.127,11.26,5.89,11.56,4.4
209,Ahmedabad,7/29/2015,35.16,118.127,10.89,5.75,14.7,3.67
210,Ahmedabad,7/30/2015,33.03,118.127,10.58,7.01,12.95,3.53
211,Ahmedabad,7/31/2015,40.95,118.127,10.47,6.92,19.8,3.38
212,Ahmedabad,8/1/2015,40.29,118.127,10.52,6.74,8.27,3.57
213,Ahmedabad,8/2/2015,41.16,118.127,10.51,6.91,13.48,3.69
214,Ahmedabad,8/3/2015,36.12,118.127,11.56,7.21,13.62,6.08
215,Ahmedabad,8/4/2015,28.51,118.127,20.52,6.69,5.69,7.65
216,Ahmedabad,8/5/2015,31.59,118.127,20.42,6.99,9.23,7.9
217,Ahmedabad,8/6/2015,42.56,118.127,20.4,7.17,6.28,9.86
218,Ahmedabad,8/7/2015,48.12,118.127,20.3,7.14,6.77,12.78
219,Ahmedabad,8/8/2015,37.09,118.127,20.21,7.22,8.66,7.94
220,Ahmedabad,8/9/2015,33.4,118.127,20.09,7.4,9.95,8.39
221,Ahmedabad,8/10/2015,38.64,118.127,20.21,7.35,9.74,6.28
222,Ahmedabad,8/11/2015,40.49,118.127,20.23,7.48,8.92,21.51
223,Ahmedabad,8/12/2015,41.37,118.127,20.2,7.47,11.73,19.8
224,Ahmedabad,8/13/2015,44.56,118.127,20.06,7.49,11.23,22.77
225,Ahmedabad,8/14/2015,65.68,118.127,19.94,7.57,8.21,30.21
226,Ahmedabad,8/15/2015,33.34,118.127,20.27,7.3,6.41,32.95
227,Ahmedabad,8/16/2015,39.17,118.127,20.24,7.35,9.17,26.64
228,Ahmedabad,8/17/2015,34.0,118.127,20.1,7.41,9.64,17.17
229,Ahmedabad,8/18/2015,36.38,118.127,20.14,7.31,10.65,13.35
230,Ahmedabad,8/19/2015,38.35,118.127,20.16,7.41,9.33,18.59
231,Ahmedabad,8/20/2015,38.5,118.127,19.67,12.38,10.37,16.33
232,Ahmedabad,8/21/2015,39.61,118.127,14.84,17.31,10.76,5.38
233,Ahmedabad,8/22/2015,61.79,118.127,14.82,17.24,12.39,8.06
234,Ahmedabad,8/23/2015,43.22,118.127,14.82,17.17,11.68,37.87
235,Ahmedabad,8/24/2015,33.41,118.127,14.86,17.12,12.96,86.83
236,Ahmedabad,8/25/2015,36.9,118.127,14.85,17.08,4.73,54.01
237,Ahmedabad,8/26/2015,36.36,118.127,14.79,17.11,8.86,77.3
238,Ahmedabad,8/27/2015,32.64,118.127,14.84,17.01,7.05,62.31
239,Ahmedabad,8/28/2015,38.23,118.127,14.89,17.07,10.9,55.94
240,Ahmedabad,8/29/2015,39.86,118.127,14.83,16.98,10.02,96.83
241,Ahmedabad,8/30/2015,72.74,118.127,14.84,17.04,4.23,99.03
242,Ahmedabad,8/31/2015,43.2,118.127,14.86,17.05,5.96,59.99
243,Ahmedabad,9/1/2015,63.2,118.127,14.82,17.03,3.69,7.57
244,Ahmedabad,9/2/2015,64.73,118.127,14.82,17.01,6.45,12.13
245,Ahmedabad,9/3/2015,65.28,118.127,14.85,17.04,6.13,18.2
246,Ahmedabad,9/4/2015,67.86,118.127,14.87,16.97,8.87,16.53
247,Ahmedabad,9/5/2015,52.4,118.127,14.81,16.97,9.89,22.55
248,Ahmedabad,9/6/2015,33.33,118.127,14.89,16.95,6.88,33.58
249,Ahmedabad,9/7/2015,29.52,118.127,14.88,16.94,8.56,40.65
250,Ahmedabad,9/8/2015,15.53,118.127,14.85,17.0,15.13,34.18
251,Ahmedabad,9/9/2015,57.51,118.127,50.9,16.31,8.73,15.39
252,Ahmedabad,9/10/2015,50.24,118.127,12.31,9.46,11.63,13.61
253,Ahmedabad,9/11/2015,61.77,118.127,15.43,8.68,8.1,18.69
254,Ahmedabad,9/12/2015,46.93,118.127,11.47,7.14,7.92,19.03
255,Ahmedabad,9/13/2015,43.01,118.127,9.96,6.82,11.58,20.59
256,Ahmedabad,9/14/2015,42.06,118.127,11.35,8.43,11.63,28.09
257,Ahmedabad,9/15/2015,44.94,118.127,10.94,7.14,5.85,59.38
258,Ahmedabad,9/16/2015,29.58,118.127,9.94,6.61,8.82,42.9
259,Ahmedabad,9/17/2015,32.15,118.127,9.7,6.5,9.2,39.02
260,Ahmedabad,9/18/2015,36.33,118.127,12.88,7.68,8.28,43.35
261,Ahmedabad,9/19/2015,24.46,118.127,10.99,8.45,12.59,44.55
262,Ahmedabad,9/20/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
263,Ahmedabad,9/21/2015,27.08,118.127,12.25,9.95,9.51,12.46
264,Ahmedabad,9/22/2015,59.29,118.127,9.68,9.21,5.98,7.69
265,Ahmedabad,9/23/2015,65.32,118.127,9.62,10.61,3.69,4.74
266,Ahmedabad,9/24/2015,47.39,118.127,10.48,9.26,7.72,7.71
267,Ahmedabad,9/25/2015,43.88,118.127,19.75,8.69,4.83,11.53
268,Ahmedabad,9/26/2015,28.35,118.127,13.62,9.05,7.47,15.95
269,Ahmedabad,9/27/2015,3.59,118.127,14.17,11.26,9.6,20.38
270,Ahmedabad,9/28/2015,3.04,118.127,21.5,16.31,13.73,30.05
271,Ahmedabad,9/29/2015,19.14,118.127,30.6,10.33,10.96,29.36
272,Ahmedabad,9/30/2015,69.12,118.127,32.41,8.85,15.63,28.45
273,Ahmedabad,10/1/2015,76.41,118.127,34.7,17.96,15.44,31.49
274,Ahmedabad,10/2/2015,102.49,118.127,37.85,33.31,27.32,24.85
275,Ahmedabad,10/3/2015,127.94,118.127,28.38,11.14,25.59,15.17
276,Ahmedabad,10/4/2015,87.18,118.127,21.51,7.83,6.98,23.17
277,Ahmedabad,10/5/2015,99.73,118.127,30.23,20.16,32.74,20.91
278,Ahmedabad,10/6/2015,84.15,118.127,32.1,15.83,19.37,23.12
279,Ahmedabad,10/7/2015,92.12,118.127,32.5,18.21,31.75,29.97
280,Ahmedabad,10/8/2015,94.02,118.127,36.97,27.14,24.88,23.51
281,Ahmedabad,10/9/2015,150.27,118.127,34.86,15.9,26.35,31.96
282,Ahmedabad,10/10/2015,118.91,118.127,29.22,5.42,79.47,24.89
283,Ahmedabad,10/11/2015,91.41,118.127,23.45,5.19,25.44,6.25
284,Ahmedabad,10/12/2015,95.9,118.127,33.63,10.38,30.06,27.34
285,Ahmedabad,10/13/2015,137.87,118.127,32.98,20.2,21.89,17.41
286,Ahmedabad,10/14/2015,90.71,118.127,25.73,18.12,17.89,26.02
287,Ahmedabad,10/15/2015,108.68,118.127,32.87,17.03,22.59,19.56
288,Ahmedabad,10/16/2015,98.79,118.127,31.2,17.72,26.09,30.19
289,Ahmedabad,10/17/2015,145.75,118.127,34.71,20.61,24.66,95.94
290,Ahmedabad,10/18/2015,179.43,118.127,39.42,52.33,39.15,112.01
291,Ahmedabad,10/19/2015,170.52,118.127,35.22,15.49,34.03,53.98
292,Ahmedabad,10/20/2015,203.4,118.127,36.63,23.03,94.3,5.36
293,Ahmedabad,10/21/2015,92.71,118.127,30.65,12.92,42.08,72.86
294,Ahmedabad,10/22/2015,64.66,118.127,23.83,4.79,34.4,24.76
295,Ahmedabad,10/23/2015,78.14,118.127,28.93,10.58,44.91,35.56
296,Ahmedabad,10/24/2015,100.17,118.127,34.16,32.27,27.73,23.95
297,Ahmedabad,10/25/2015,147.35,118.127,39.1,34.64,46.09,26.43
298,Ahmedabad,10/26/2015,206.89,118.127,55.67,145.32,20.47,38.0
299,Ahmedabad,10/27/2015,114.84,118.127,40.31,38.09,22.94,30.19
300,Ahmedabad,10/28/2015,89.64,118.127,25.75,5.42,44.92,43.04
301,Ahmedabad,10/29/2015,51.72,118.127,21.15,1.89,37.31,66.58
302,Ahmedabad,10/30/2015,54.59,118.127,18.33,2.31,19.08,42.43
303,Ahmedabad,10/31/2015,46.5,118.127,12.1,1.22,13.73,61.56
304,Ahmedabad,11/1/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
305,Ahmedabad,11/2/2015,122.54,118.127,44.2,75.42,13.78,60.66
306,Ahmedabad,11/3/2015,147.18,118.127,36.87,33.06,21.24,131.12
307,Ahmedabad,11/4/2015,214.67,118.127,42.21,57.37,22.18,34.4914
308,Ahmedabad,11/5/2015,207.13,118.127,35.31,28.41,50.33,34.4914
309,Ahmedabad,11/6/2015,191.01,118.127,50.11,39.61,40.78,27.9
310,Ahmedabad,11/7/2015,192.35,118.127,29.04,9.39,29.18,33.21
311,Ahmedabad,11/8/2015,127.64,118.127,31.91,6.74,26.94,47.33
312,Ahmedabad,11/9/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
313,Ahmedabad,11/10/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
314,Ahmedabad,11/11/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
315,Ahmedabad,11/12/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
316,Ahmedabad,11/13/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
317,Ahmedabad,11/14/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
318,Ahmedabad,11/15/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
319,Ahmedabad,11/16/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
320,Ahmedabad,11/17/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
321,Ahmedabad,11/18/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
322,Ahmedabad,11/19/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
323,Ahmedabad,11/20/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
324,Ahmedabad,11/21/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
325,Ahmedabad,11/22/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
326,Ahmedabad,11/23/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
327,Ahmedabad,11/24/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
328,Ahmedabad,11/25/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
329,Ahmedabad,11/26/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
330,Ahmedabad,11/27/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
331,Ahmedabad,11/28/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
332,Ahmedabad,11/29/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
333,Ahmedabad,11/30/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
334,Ahmedabad,12/1/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
335,Ahmedabad,12/2/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
